"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 30 11:07:19 CST 2021","Mon Aug 30 11:07:19 CST 2021","0","test_case","test_001","TestLogin","","","标题",""
"passed","Mon Aug 30 11:07:19 CST 2021","Mon Aug 30 11:07:19 CST 2021","0","test_case","test_001","TestLogin","","","标题",""
"passed","Mon Aug 30 11:07:19 CST 2021","Mon Aug 30 11:07:19 CST 2021","0","test_case","test_001","TestLogin","","","标题",""
"failed","Mon Aug 30 11:07:19 CST 2021","Mon Aug 30 11:07:19 CST 2021","1","test_case","test_001","TestLogin","","","标题",""
